0	:invoke	:read	nil
0	:ok	:read	[]
1	:invoke	:read	nil
1	:ok	:read	[]
2	:invoke	:read	nil
2	:ok	:read	[]
3	:invoke	:read	nil
3	:ok	:read	[]
4	:invoke	:read	nil
4	:ok	:read	[]
0	:invoke	:broadcast	0
0	:ok	:broadcast	0
0	:invoke	:read	nil
0	:ok	:read	[0]
1	:invoke	:read	nil
1	:ok	:read	[0]
2	:invoke	:read	nil
2	:ok	:read	[0]
3	:invoke	:read	nil
3	:ok	:read	[0]
4	:invoke	:broadcast	1
4	:ok	:broadcast	1
0	:invoke	:broadcast	2
0	:ok	:broadcast	2
0	:invoke	:broadcast	3
0	:ok	:broadcast	3
1	:invoke	:read	nil
1	:ok	:read	[3 0 1 2]
2	:invoke	:broadcast	4
2	:ok	:broadcast	4
3	:invoke	:read	nil
3	:ok	:read	[0 1 2 3 4]
4	:invoke	:broadcast	5
4	:ok	:broadcast	5
0	:invoke	:read	nil
0	:ok	:read	[3 4 5 0 1 2]
0	:invoke	:broadcast	6
0	:ok	:broadcast	6
1	:invoke	:read	nil
1	:ok	:read	[4 5 6 0 1 2 3]
2	:invoke	:broadcast	7
2	:ok	:broadcast	7
3	:invoke	:broadcast	8
3	:ok	:broadcast	8
4	:invoke	:broadcast	9
4	:ok	:broadcast	9
0	:invoke	:broadcast	10
0	:ok	:broadcast	10
0	:invoke	:read	nil
0	:ok	:read	[0 1 3 6 8 9 10 2 4 5 7]
1	:invoke	:broadcast	11
1	:ok	:broadcast	11
2	:invoke	:broadcast	12
2	:ok	:broadcast	12
3	:invoke	:broadcast	13
3	:ok	:broadcast	13
4	:invoke	:broadcast	14
4	:ok	:broadcast	14
0	:invoke	:broadcast	15
0	:ok	:broadcast	15
0	:invoke	:broadcast	16
0	:ok	:broadcast	16
1	:invoke	:broadcast	17
1	:ok	:broadcast	17
2	:invoke	:broadcast	18
2	:ok	:broadcast	18
3	:invoke	:broadcast	19
4	:invoke	:broadcast	20
4	:ok	:broadcast	20
3	:ok	:broadcast	19
0	:invoke	:read	nil
0	:ok	:read	[2 4 14 16 0 1 13 17 18 20 5 7 11 12 15 19 3 6 8 9 10]
0	:invoke	:broadcast	21
0	:ok	:broadcast	21
1	:invoke	:broadcast	22
1	:ok	:broadcast	22
2	:invoke	:read	nil
2	:ok	:read	[7 8 13 15 2 4 3 11 14 16 0 1 10 12 17 22 5 9 20 19 21 6 18]
3	:invoke	:broadcast	23
3	:ok	:broadcast	23
4	:invoke	:read	nil
4	:ok	:read	[5 22 23 1 2 10 11 15 17 19 21 4 6 7 8 9 16 20 0 3 12 13 14 18]
0	:invoke	:broadcast	24
0	:ok	:broadcast	24
0	:invoke	:read	nil
0	:ok	:read	[7 11 12 15 20 23 24 5 6 8 9 10 19 22 3 4 14 16 21 2 1 13 17 18 0]
1	:invoke	:broadcast	25
1	:ok	:broadcast	25
2	:invoke	:broadcast	26
2	:ok	:broadcast	26
3	:invoke	:read	nil
3	:ok	:read	[16 17 0 2 5 4 12 23 15 25 1 3 6 9 14 18 21 8 13 24 7 19 22 26 11 10 20]
4	:invoke	:read	nil
4	:ok	:read	[20 21 8 3 12 24 0 22 25 5 2 17 1 6 7 9 16 4 13 14 18 26 23 10 11 15 19]
0	:invoke	:read	nil
0	:ok	:read	[6 8 9 10 19 22 14 16 13 17 18 26 7 11 15 3 25 2 4 21 0 1 24 5 12 20 23]
0	:invoke	:read	nil
0	:ok	:read	[0 1 20 23 24 5 12 22 6 8 9 10 19 14 16 13 17 18 26 7 11 15 3 25 2 4 21]
1	:invoke	:broadcast	27
1	:ok	:broadcast	27
2	:invoke	:broadcast	28
2	:ok	:broadcast	28
3	:invoke	:read	nil
3	:ok	:read	[26 7 19 22 11 10 20 16 17 0 2 5 28 4 12 23 9 14 15 25 1 3 6 18 24 27 8 13 21]
4	:invoke	:broadcast	29
4	:ok	:broadcast	29
0	:invoke	:read	nil
0	:ok	:read	[13 17 18 26 28 7 11 15 3 25 27 2 4 21 0 1 5 12 20 23 24 29 6 8 9 10 19 22 14 16]
0	:invoke	:read	nil
